CO_PROCEDIMENTO;no_proc_autorizado
04.01.02.001-0;ENXERTO COMPOSTO
04.01.02.002-9;ENXERTO DERMO-EPIDÉRMICO
04.01.02.003-7;ENXERTO LIVRE DE PELE TOTAL
04.01.02.004-5;EXCISÃO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )
04.01.02.005-3;EXCISÃO E SUTURA DE LESAO NA PELE C/ PLÁSTICA EM Z OU ROTAÇÃO DE RETALHO
04.01.02.006-1;EXÉRESE DE CISTO BRANQUIAL
04.01.02.007-0;EXÉRESE DE CISTO DERMOIDE
04.01.02.008-8;EXÉRESE DE CISTO SACRO-COCCIGEO
04.01.02.009-6;EXÉRESE DE CISTO TIREOGLOSSO
04.01.02.010-0;EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
04.01.02.011-8;HOMOENXERTIA (ATO CIRÚRGICO PRE E PÓS-OPERATÓRIO)
04.01.02.014-2;TRATAMENTO CIRÚRGICO DE HIPERCERATOSE PLANTAR (C/ CORREÇÃO PLÁSTICA)
04.01.02.015-0;TRATAMENTO CIRÚRGICO DO SINUS PRÉ-AURICULAR
04.01.02.016-9;TRATAMENTO EM ESTÁGIOS SUBSEQUENTES DE ENXERTIA
04.02.01.001-9;EXTIRPAÇÃO DE BÓCIO INTRATORÁCICO POR VIA TRANSESTERNAL
04.02.01.002-7;PARATIREOIDECTOMIA
04.02.01.003-5;TIREOIDECTOMIA PARCIAL
04.02.01.004-3;TIREOIDECTOMIA TOTAL
04.02.01.005-1;TIREOIDECTOMIA TOTAL COM ESVAZIAMENTO GANGLIONAR
04.02.02.001-4;SUPRARRENALECTOMIA BILATERAL
04.02.02.002-2;SUPRARRENALECTOMIA UNILATERAL
04.03.01.001-2;CRANIOPLÁSTIA
04.03.01.004-7;CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFÁLICO
04.03.01.005-5;CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFÁLICO (COM TÉCNICA COMPLEMENTAR)
04.03.01.006-3;CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO
04.03.01.007-1;CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TÉCNICA COMPLEMENTAR)
04.03.01.008-0;DERIVAÇÃO RAQUE-PERITONEAL
04.03.01.009-8;DERIVAÇÃO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
04.03.01.010-1;DERIVAÇÃO VENTRICULAR PARA PERITÔNEO / ÁTRIO / PLEURA / RAQUE
04.03.01.011-0;DESCOMPRESSÃO DE ORBITA POR DOENÇA OU TRAUMA
04.03.01.012-8;MICROCIRURGIA CEREBRAL ENDOSCOPICA
04.03.01.013-6;MICROCIRURGIA DA SIRINGOMIELIA
04.03.01.014-4;RECONSTRUÇÃO CRANIANA / CRÂNIO-FACIAL
04.03.01.015-2;RESSECÇÃO DE MUCOCELE FRONTAL
04.03.01.016-0;RETIRADA DE DERIVAÇÃO VENTRICULAR PARA PERITONEO / ÁTRIO / PLEURA / RAQUE
04.03.01.017-9;RETIRADA DE PLACA DE CRANIOPLÁSTIA
04.03.01.018-7;REVISÃO DE DERIVAÇÃO VENTRICULAR PARA PERITÔNEO / ÁTRIO / PLEURA / RAQUE
04.03.01.020-9;TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COM SUTURA ÚNICA
04.03.01.021-7;TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COMPLEXA
04.03.01.022-5;TRATAMENTO CIRÚRGICO DE DISRAFISMO ABERTO
04.03.01.023-3;TRATAMENTO CIRÚRGICO DE DISRAFISMO OCULTO
04.03.01.024-1;TRATAMENTO CIRÚRGICO DE FÍSTULA LIQUORICA CRANIANA
04.03.01.025-0;TRATAMENTO CIRÚRGICO DE FISTULA LIQUORICA RAQUIDIANA
04.03.01.032-2;TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DO CRÂNIO
04.03.01.033-0;TRATAMENTO CIRÚRGICO DE PLATIBASIA E MALFORMAÇÃO DE ARNOLD CHIARI
04.03.01.035-7;TREPANAÇÃO CRANIANA PARA PUNÇÃO OU BIÓPSIA (COM TÉCNICA COMPLEMENTAR)
04.03.01.036-5;TREPANAÇÃO CRANIANA PARA PUNÇÃO OU BIÓPSIA
04.03.01.039-0;DRENAGEM LIQUÓRICA LOMBAR EXTERNA
04.03.02.001-8;ENXERTO MICROCIRÚRGICO DE NERVO PERIFÉRICO (2 OU MAIS NERVOS)
04.03.02.002-6;ENXERTO MICROCIRÚRGICO DE NERVO PERIFÉRICO (ÚNICO NERVO)
04.03.02.003-4;MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE
04.03.02.004-2;MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA
04.03.02.005-0;MICRONEUROLISE DE NERVO PERIFÉRICO
04.03.02.006-9;MICRONEURORRAFIA
04.03.02.007-7;NEUROLISE NÃO FUNCIONAL DE NERVOS PERIFERICOS
04.03.02.008-5;NEURORRAFIA
04.03.02.009-3;NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS
04.03.02.010-7;TRANSPOSIÇÃO DO NERVO CUBITAL
04.03.02.011-5;TRATAMENTO CIRÚRGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRÚRGIA
04.03.02.012-3;TRATAMENTO CIRÚRGICO DE SINDROME COMPRESSIVA EM TÚNEL OSTEO-FIBROSO AO NÍVEL DO CARPO
04.03.02.013-1;TRATAMENTO MICROCIRÚRGICO DE TUMOR DE NERVO PERIFÉRICO / NEUROMA
04.03.03.001-3;CRANIOTOMIA PARA BIOPSIA ENCEFÁLICA
04.03.03.002-1;CRANIOTOMIA PARA BIOPSIA ENCEFÁLICA (COM TÉCNICA COMPLEMENTAR)
04.03.03.003-0;CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR
04.03.03.004-8;CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO
04.03.03.005-6;CRANIECTOMIA POR TUMOR OSSEO
04.03.03.006-4;HIPOFISECTOMIA TRANSESFENOIDAL POR TÉCNICA COMPLEMENTAR
04.03.03.008-0;MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR
04.03.03.009-9;MICROCIRURGIA DE TUMOR MEDULAR COM TÉCNICA COMPLEMENTAR
04.03.03.010-2;MICROCIRURGIA DE TUMOR MEDULAR
04.03.03.011-0;MICROCIRURGIA PARA BIOPSIA DE MEDULA ESPINHAL OU RAIZES
04.03.03.012-9;MICROCIRURGIA PARA TUMOR DA BASE DO CRÂNIO
04.03.03.013-7;MICROCIRURGIA PARA TUMOR DE ÓRBITA
04.03.03.014-5;MICROCIRURGIA PARA TUMOR INTRACRANIANO
04.03.03.015-3;MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TÉCNICA COMPLEMENTAR)
04.03.03.016-1;RESSECÇÃO DE TUMOR RAQUIMEDULAR EXTRADURAL
04.03.04.001-9;ANASTOMOSE VASCULAR EXTRA / INTRACRANIANA
04.03.04.002-7;DESCOMPRESSÃO NEUROVASCULAR DE NERVOS CRANIANOS
04.03.04.005-1;MICROCIRURGIA PARA MALFORMAÇÃO ARTÉRIO-VENOSA CEREBRAL
04.03.04.006-0;MICROCIRURGIA PARA MALFORMAÇÃO ARTÉRIO-VENOSA CEREBRAL PROFUNDA
04.03.04.007-8;MICROCIRURGIA VASCULAR INTRACRANIANA (COM TÉCNICA COMPLEMENTAR)
04.03.04.008-6;TRATAMENTO CIRÚRGICO DE FÍSTULA CAROTÍDEO-CAVERNOSA
04.03.04.009-4;MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM
04.03.04.010-8;MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR MAIOR QUE 1,5 CM
04.03.04.011-6;MICROCIRURGIA P/ARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MENOR QUE 1,5 CM
04.03.04.012-4;MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR MENOR QUE 1,5 CM
04.03.05.003-0;BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFÉRICO / CENTRAL COM BOMBA DE INFUSÃO
04.03.05.004-9;CORDOTOMIA / MIELOTOMIA POR RADIOFREQUENCIA
04.03.05.005-7;IMPLANTE INTRATECAL DE BOMBA DE INFUSÃO DE FÁRMACOS
04.03.05.006-5;MICROCIRURGIA COM CORDOTOMIA / MIELOTOMIA A CÉU ABERTO
04.03.05.007-3;MICROCIRURGIA COM RIZOTOMIA A CÉU ABERTO
04.03.05.009-0;RIZOTOMIA PERCUTANEA COM BALÃO
04.03.05.010-3;RIZOTOMIA / NEUROTOMIA PERCUTÂNEA POR RADIOFREQUÊNCIA
04.03.05.011-1;SIMPATECTOMIA LOMBAR A CÉU ABERTO
04.03.05.012-0;SIMPATECTOMIA LOMBAR VIDEOCIRURGICA
04.03.05.013-8;SIMPATECTOMIA TORACICA A CÉU ABERTO
04.03.05.014-6;SIMPATECTOMIA TORÁCICA VIDEOCIRÚRGICA
04.03.05.015-4;TRATAMENTO DE LESÃO DO SISTEMA NEUROVEGETATIVO POR AGENTES QUÍMICOS
04.03.05.016-2;TRATAMENTO ABLATIVO POR ESTEREOTAXIA EM ESTRUTURA PROFUNDA DE SNC PARA TRATATAMENTO DE MOVIMENTOS ANORMAIS OU CONTROLE DA DOR
04.03.06.001-0;EXPLORAÇÃO DIAGNÓSTICA CIRÚRGICA PARA IMPLANTAÇÃO BILATERAL DE ELETRODOS SUBDURAIS (INCLUI VÍDEO-ELETROENCEFALOGRAMA)
04.03.06.002-8;EXPLORAÇÃO DIAGNÓSTICA CIRÚRGICA PARA IMPLANTAÇÃO UNILATERAL DE ELETRODOS SUBDURAIS (INCLUI VIDEO-ELETROENCEFALOGRAMA)
04.03.06.003-6;MICROCIRURGIA PARA LESIONECTOMIA COM MONITORAMENTO INTRAOPERATÓRIO
04.03.06.004-4;MICROCIRURGIA PARA LESIONECTOMIA SEM MONITORAMENTO INTRA-OPERATÓRIO
04.03.06.005-2;MICROCIRURGIA PARA LOBÉCTOMIA TEMPORAL / AMIGDALO-HIPOCAMPECTOMIA SELETIVA
04.03.06.006-0;MICROCIRURGIA PARA RESSECÇÃO MULTILOBAR / HEMISFERÉCTOMIA / CALOSOTOMIA
04.03.06.007-9;MICROCIRURGIA PARA RESSECÇÃO UNILOBAR EXTRATEMPORAL COM MONITORAMENTO INTRAOPERATÓRIO
04.03.07.004-0;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO ESTREITO
04.03.07.005-8;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO LARGO
04.03.07.008-2;EMBOLIZAÇÃO DE FÍSTULA ARTÉRIO-VENOSA DA CABEÇA E PESCOÇO
04.03.07.009-0;EMBOLIZAÇÃO DE FÍSTULA CARÓTIDO-CAVERNOSA DIRETAS
04.03.07.010-4;EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL COMPLEXA DO SISTEMA NERVOSO CENTRAL
04.03.07.011-2;EMBOLIZAÇÃO DE MALFORMAÇÃO ARTÉRIO-VENOSA DURAL SIMPLES DO SISTEMA NERVOSO CENTRAL
04.03.07.012-0;EMBOLIZAÇÃO DE MALFORMAÇÃO ARTÉRIO-VENOSA INTRAPARENQUIMATOSA DO SISTEMA NERVOSO CENTRAL
04.03.07.013-9;EMBOLIZAÇÃO DE TUMOR INTRA-CRANIANO OU DA CABEÇA E PESCOÇO
04.03.07.014-7;TRATAMENTO DE ANEURISMA GIGANTE POR OCLUSÃO DO VASO PORTADOR
04.03.07.015-5;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR QUE 1,5 CM COM COLO ESTRÉITO
04.03.07.016-3;EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR DO QUE 1,5 CM COM COLO LARGO
04.03.08.001-0;IMPLANTE DE ELETRODO PARA ESTIMULAÇÃO CEREBRAL
04.03.08.002-9;IMPLANTE DE GERADOR DE PULSOS P/ARA ESTIMULAÇÃO CEREBRAL (INCLUI CONECTOR)
04.03.08.003-7;IMPLANTE INTRAVENTRICULAR DE BOMBA DE INFUSÃO DE FÁRMACOS
04.03.08.004-5;MIECTOMIA SUPERSELETIVA
04.03.08.005-3;NEUROTOMIA SUPERSELETIVA PARA MOVIMENTOS ANORMAIS
04.03.08.006-1;NÚCLEO TRACTOMIA TRIGEMINAL E/OU ESPINAL
04.03.08.007-0;TRATAMENTO DE DOR POR ESTEREOTAXIA
04.03.08.008-8;TRATAMENTO DE MOVIMENTO ANORMAL POR ESTEREOTAXIA
04.03.08.009-6;TRATAMENTO DE MOVIMENTO ANORMAL POR ESTEREOTAXIA COM MICRO-REGISTRO
04.03.08.010-0;TROCA DE GERADOR DE PULSOS PARA ESTIMULAÇÃO CEREBRAL
04.04.01.001-6;ADENOIDECTOMIA
04.04.01.002-4;AMIGDALECTOMIA
04.04.01.003-2;AMIGDALECTOMIA C/ ADENOIDECTOMIA
04.04.01.008-3;DRENAGEM DO SACO ENDO-LINFATICO - SHUNT (COM AUDIÇÃO POR VIA TRANSMASTOIDEA)
04.04.01.010-5;ESTAPEDECTOMIA
04.04.01.011-3;EXÉRESE DE PAPILOMA EM LARINGE
04.04.01.012-1;EXÉRESE DE TUMOR DE VIAS AEREAS SUPERIORES, FACE E PESCOÇO
04.04.01.013-0;EXTIRPAÇÃO DE TUMOR DO CAVUM E FARINGE
04.04.01.014-8;IMPLANTE COCLEAR
04.04.01.016-4;LABIRINTECTOMIA MEMBRANOSA / ÓSSEA COM OU SEM AUDIÇÃO
04.04.01.017-2;LARINGECTOMIA PARCIAL
04.04.01.018-0;LARINGECTOMIA TOTAL
04.04.01.019-9;LARINGECTOMIA TOTAL COM ESVAZIAMENTO CERVICAL
04.04.01.020-2;LARINGORRAFIA
04.04.01.021-0;MASTOIDECTOMIA RADICAL
04.04.01.022-9;MASTOIDECTOMIA SUBTOTAL
04.04.01.023-7;MICROCIRURGIA OTOLÓGICA
04.04.01.028-8;RESSECÇÃO DE GLOMO TIMPÂNICO
04.04.01.032-6;SINUSOTOMIA BILATERAL
04.04.01.033-4;SINUSOTOMIA ESFENOIDAL
04.04.01.035-0;TIMPANOPLASTIA (UNI / BILATERAL)
04.04.01.038-5;TRATAMENTO CIRÚRGICO DE ESTENOSE DO CONDUTO AUDITIVO
04.04.01.040-7;TRATAMENTO CIRÚRGICO DE RINITE CRONICA (OZENA)
04.04.01.041-5;TURBINECTOMIA
04.04.01.043-1;ARITENOIDECTOMIA COM LARINGOFISSURA
04.04.01.045-8;LARINGOFISSURA PARA COLOCAÇÃO DE MOLDE NOS TRAUMATISMOS DE LARINGE
04.04.01.046-6;PAROTIDECTOMIA PARCIAL OU SUBTOTAL
04.04.01.047-4;PLÁSTICA DO CANAL DE STENON
04.04.01.048-2;SEPTOPLASTIA PARA CORREÇÃO DE DESVIO
04.04.01.049-0;TRATAMENTO CIRÚRGICO DE IMPERFURAÇÃO COANAL (UNI / BILATERAL)
04.04.01.050-4;TRATAMENTO CIRÚRGICO DE PERFURAÇÃO DO SEPTO NASAL
04.04.01.051-2;SINUSOTOMIA TRANSMAXILAR
04.04.01.052-0;SEPTOPLASTIA REPARADORA NÂO ESTÉTICA
04.04.01.053-9;RESSECÇÃO DE TUMOR DO ACÚSTICO (PELA FOSSA MÉDIA)
04.04.01.054-7;RESSECÇÃO DO GLOMO JUGULAR
04.04.01.055-5;TRATAMENTO CIRÚRGICO DE RINOFIMA
04.04.01.056-3;TIREOPLASTIA
04.04.01.057-1;CIRURGIA DE IMPLANTE COCLEAR UNILATERAL
04.04.01.058-0;CIRURGIA DE IMPLANTE COCLEAR BILATERAL
04.04.01.059-8;CIRURGIA PARA REVISÃO DO IMPLANTE COCLEAR SEM DISPOSITIVO INTERNO DO IMPLANTE COCLEAR
04.04.01.060-1;CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO - 1º TEMPO
04.04.01.061-0;CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO - 2º TEMPO
04.04.01.062-8;CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO UNILATERAL TEMPO ÚNICO
04.04.01.063-6;CIRURGIA PARA REVISÃO DA PRÓTESE AUDITIVA ANCORADA NO OSSO
04.04.01.064-4;CIRURGIA PARA REIMPLANTAÇÃO DA PRÓTESE AUDITIVA ANCORADA NO OSSO
04.04.01.065-2;CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO BILATERAL - TEMPO ÚNICO
04.04.02.001-1;ALONGAMENTO DE COLUMELA
04.04.02.003-8;CORREÇÃO CIRÚRGICA DE FÍSTULA ORO-NASAL / ORO-SINUSAL
04.04.02.004-6;CORREÇÃO CIRÚRGICA DE FÍSTULA SALIVAR COM RETALHO
04.04.02.006-2;ENXERTO TOTAL / PARCIAL INTRATEMPORAL DE NERVO FACIAL
04.04.02.007-0;RESSECÇÃO DE GLÂNDULA SALIVAR
04.04.02.008-9;EXCISÃO DE RÂNULA OU FENÔMENO DE RETENÇÃO SALIVAR
04.04.02.011-9;EXCISÃO PARCIAL DE LÁBIO COM ENXERTO LIVRE / ROTAÇÃO DE RETALHO
04.04.02.013-5;EXPLORAÇÃO/ DESCOMPRESSÃO TOTAL / PARCIAL DO NERVO FACIAL
04.04.02.014-3;GLOSSECTOMIA PARCIAL
04.04.02.017-8;MAXILECTOMIA PARCIAL
04.04.02.020-8;LABIOPLASTIA PARA REDUÇÃO OU CORREÇÃO DA HIPERTROFIA DO LÁBIO
04.04.02.022-4;RECONSTRUÇÃO TOTAL DE CAVIDADE ORBITÁRIA
04.04.02.023-2;RECONSTRUÇÃO TOTAL OU PARCIAL DE LÁBIO
04.04.02.024-0;RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ
04.04.02.027-5;RESSECÇÃO DE LESÃO MALIGNA E BENIGNA DA REGIÃO CRÂNIO E BUCOMAXILOFACIAL
04.04.02.029-1;RESSECÇÃO DO CÔNDILO MANDIBULAR COM OU SEM RECONSTRUÇÃO
04.04.02.032-1;RINOPLASTIA PARA DEFEITOS PÓS-TRAUMÁTICOS
04.04.02.034-8;TRATAMENTO CIRÚRGICO DE ATRESIA NARINÁRIA
04.04.02.035-6;TRATAMENTO CIRÚRGICO DE FÍSTULA E CISTOS ORO-MAXILARES
04.04.02.038-0;TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DE OSSOS DA FACE
04.04.02.039-9;TRATAMENTO CIRÚRGICO DE PARALISIA FACIAL (SUSPENSÃO DE HEMIFACE)
04.04.02.042-9;TRATAMENTO CIRÚRGICO DO SOALHO DA ÓRBITA
04.04.02.045-3;OSTEOTOMIA DA MAXILA
04.04.02.046-1;OSTEOTOMIA DA MANDIBULA
04.04.02.047-0;RECONSTRUÇÃO DO SULCO GENGIVO-LABIAL
04.04.02.048-8;OSTEOTOMIA DAS FRATURAS ALVEOLO-DENTÁRIAS
04.04.02.049-6;OSTEOSSÍNTESE DE FRATURA UNILATERAL DO CÔNDILO MANDIBULAR
04.04.02.050-0;OSTEOSSÍNTESE DA FRATURA COMPLEXA DA MANDÍBULA
04.04.02.051-8;OSTEOSSÍNTESE DE FRATURA COMPLEXA DA MAXILA
04.04.02.052-6;OSTEOSSINTESE DE FRATURA DO COMPLEXO ÓRBITO-ZIGOMÁTICO-MAXILAR
04.04.02.053-4;OSTEOSSÍNTESE DE FRATURA DO COMPLEXO NASO-ÓRBITO-ETMOIDAL
04.04.02.055-0;OSTEOSSÍNTESE DE FRATURA SIMPLES DE MANDÍBULA
04.04.02.056-9;ARTROPLASTIA DA ARTICULAÇÃO TÊMPORO-MANDIBULAR (RECIDIVANTE OU NÃO)
04.04.02.064-0;TRATAMENTO CIRÚRGICO DE ANQUILOSE DA ARTICULAÇÃO TÊMPORO-MANDIBULAR
04.04.02.065-8;TRATAMENTO CIRÚRGICO DE OSTEOMA, ODONTOMA /OUTRAS LESÕES ESPECIFICADAS
04.04.02.069-0;OSTEOTOMIA CRÂNIO-FACIAL
04.04.02.070-4;OSTEOSSÍNTESE DA FRATURA DO OSSO ZIGOMÁTICO
04.04.02.071-2;ELEVAÇÃO DO ASSOALHO DO SEIO MAXILAR
04.04.02.072-0;OSTEOSSÍNTESE DE FRATURA BILATERAL DO CÔNDILO MANDIBULAR
04.04.02.073-9;RECONSTRUÇÃO PARCIAL DE MANDÍBULA / MAXILA
04.04.02.077-1;RESSECÇÃO DE LESÃO DA BOCA
04.04.02.078-0;RECONSTRUÇÃO TOTAL DE MANDÍBULA/MAXILA
04.04.03.001-7;ALONGAMENTO DE COLUMELA EM PACIENTE COM ANOMALIAS CRÂNIO E BUCOMAXILOFACIAL
04.04.03.003-3;OSTEOTOMIA DE MAXILA EM PACIENTES COM ANOMALIA CRANIO E BUCOMAXILOFACIAL
04.04.03.004-1;MICROCIRURGIA OTOLÓGICA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.005-0;OSTEOTOMIA DA MANDÍBULA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.006-8;OSTEOPLASTIA DO MENTO COM OU SEM IMPLANTE ALOPLÁSTICO
04.04.03.007-6;LABIOPLASTIA UNILATERAL EM DOIS TEMPOS
04.04.03.008-4;ALVEOLOPLASTIA COM ENXERTO ÓSSEO EM PACIENTE COM ANOMALIA CRÂNIO FACIAL
04.04.03.010-6;PALATOPLASTIA PRIMÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.012-2;LABIOPLASTIA SECUNDÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.013-0;RINOSEPTOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.015-7;RECONSTRUÇÃO TOTAL DE LÁBIO EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.016-5;RINOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.017-3;SEPTOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.019-0;TIMPANOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL (UNI / BILATERAL)
04.04.03.022-0;IMPLANTE OSTEOINTEGRADO EXTRA-ORAL BUCO-MAXILO-FACIAL
04.04.03.024-6;TRATAMENTO CIRÚRGICO DE FÍSTULA ORO-SINUSAL EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.025-4;TRATAMENTO CIRÚRGICO DE FÍSTULAS ORONASAIS EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.026-2;PALATOPLASTIA SECUNDÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.027-0;TRATAMENTO CIRÚRGICO DA INSUFICIÊNCIA VELOFARÍNGEA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.028-9;TRATAMENTO CIRÚRGICO REPARADOR DA FISSURA FACIAL RARA EM PACIENTES COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.029-7;OSTEOTOMIA CRANIOFACIAL COMPLEXA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.030-0;REMODELAÇÃO CRANIOFACIAL EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.031-9;TRATAMENTO CIRÚRGICO DE MACROSTOMIA /MICROSTOMIA POR ANOMALIA CRANIOFACIAL
04.04.03.032-7;OSTEOPLASTIA FRONTO - ORBITAL
04.05.01.001-0;CORREÇÃO CIRURGICA DE ENTROPIO E ECTROPIO
04.05.01.002-8;CORREÇÃO CIRÚRGICA DE EPICANTO E TELECANTO
04.05.01.003-6;DACRIOCISTORRINOSTOMIA
04.05.01.007-9;EXÉRESE DE CALAZIO E OUTRAS PEQUENAS LESOES DA PALPEBRA E SUPERCILIOS
04.05.01.008-7;EXTIRPAÇÃO DE GLANDULA LACRIMAL
04.05.01.011-7;RECONSTITUIÇÃO DE CANAL LACRIMAL
04.05.01.012-5;RECONSTITUIÇÃO PARCIAL DE PALPEBRA COM TARSORRAFIA
