CO_PROCEDIMENTO;no_proc_autorizado
04.05.01.013-3;RECONSTITUIÇÃO TOTAL DE PALPEBRA
04.05.01.015-0;SONDAGEM DE CANAL LACRIMAL SOB ANESTESIA GERAL
04.05.02.001-5;CORREÇÃO CIRÚRGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS)
04.05.02.002-3;CORREÇÃO CIRÚRGICA DO ESTRABISMO (ATE 2 MUSCULOS)
04.05.03.001-0;APLICAÇÃO DE PLACA RADIOATIVA EPISCLERAL
04.05.03.002-9;BIOPSIA DE TUMOR INTRA OCULAR
04.05.03.004-5;FOTOCOAGULAÇÃO A LASER
04.05.03.007-0;RETINOPEXIA C/ INTROFLEXÃO ESCLERAL
04.05.03.013-4;VITRECTOMIA ANTERIOR
04.05.03.014-2;VITRECTOMIA POSTERIOR
04.05.03.016-9;VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO E ENDOLASER
04.05.03.017-7;VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER
04.05.03.018-5;TERMOTERAPIA TRANSPUPILAR
04.05.03.019-3;PAN-FOTOCOAGULAÇÃO DE RETINA A LASER
04.05.03.020-7;DRENAGEM DE HEMORRAGIA DE CORÓIDE
04.05.04.001-6;CORREÇÃO CIRURGICA DE LAGOFTALMO
04.05.04.002-4;CRIOTERAPIA DE TUMORES INTRA-OCULARES
04.05.04.004-0;DESCOMPRESSÃO DE NERVO ÓPTICO
04.05.04.005-9;DESCOMPRESSÃO DE ORBITA
04.05.04.006-7;ENUCLEAÇÃO DE GLOBO OCULAR
04.05.04.007-5;EVISCERAÇÃO DE GLOBO OCULAR
04.05.04.008-3;EXENTERAÇÃO DE ORBITA
04.05.04.009-1;EXÉRESE DE TUMOR MALIGNO INTRA-OCULAR
04.05.04.010-5;EXPLANTE DE LENTE INTRA OCULAR
04.05.04.014-8;ORBITOTOMIA
04.05.04.015-6;RECONSTITUIÇÃO DE CAVIDADE ORBITÁRIA
04.05.04.016-4;RECONSTITUIÇÃO DE PAREDE DA ORBITA
04.05.04.018-0;TRANSPLANTE DE PERIOSTEO EM ESCLEROMALACIA
04.05.04.020-2;TRATAMENTO DE PTOSE PALPEBRAL
04.05.04.021-0;REPOSICIONAMENTO DE LENTE INTRAOCULAR
04.05.05.001-1;CAPSULECTOMIA POSTERIOR CIRÚRGICA
04.05.05.002-0;CAPSULOTOMIA A YAG LASER
04.05.05.004-6;CICLOCRIOCOAGULAÇÃO / DIATERMIA
04.05.05.005-4;CICLODIALISE
04.05.05.009-7;FACECTOMIA COM IMPLANTE DE LENTE INTRA-OCULAR
04.05.05.010-0;FACECTOMIA SEM IMPLANTE DE LENTE INTRA-OCULAR
04.05.05.011-9;FACOEMULSIFICAÇÃO COM IMPLANTE DE LENTE INTRA-OCULAR RIGIDA
04.05.05.012-7;FOTOTRABECULOPLASTIA A LASER
04.05.05.013-5;IMPLANTE DE PROTESE ANTI-GLAUCOMATOSA
04.05.05.014-3;IMPLANTE INTRA-ESTROMAL
04.05.05.015-1;IMPLANTE SECUNDARIO DE LENTE INTRA-OCULAR - LIO
04.05.05.018-6;IRIDOCICLECTOMIA
04.05.05.019-4;IRIDOTOMIA A LASER
04.05.05.021-6;RECOBRIMENTO CONJUNTIVAL
04.05.05.022-4;RECONSTITUIÇÃO DE FORNIX CONJUNTIVAL
04.05.05.023-2;RECONSTRUÇÃO DE CAMARA ANTERIOR DO OLHO
04.05.05.031-3;TOPOPLASTIA DO TRANSPLANTE
04.05.05.032-1;TRABECULECTOMIA
04.05.05.035-6;TRATAMENTO CIRÚRGICO DE GLAUCOMA CONGENITO
04.05.05.037-2;FACOEMULSIFICAÇÃO COM IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL
04.05.05.038-0;CIRURGIA DE CATARATA CONGÊNITA
04.05.05.040-2;RADIAÇÃO PARA CROSS LINKING CORNEANO
04.06.01.001-3;ABERTURA DE COMUNICAÇÃO INTER-ATRIAL
04.06.01.002-1;ABERTURA DE ESTENOSE AORTICA VALVAR
04.06.01.003-0;ABERTURA DE ESTENOSE PULMONAR VALVAR
04.06.01.004-8;AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO DIREITO E/OU RAMOS PULMONARES
04.06.01.005-6;AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO ESQUERDO
04.06.01.006-4;ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL
04.06.01.007-2;ANASTOMOSE CAVO-PULMONAR TOTAL
04.06.01.008-0;ANASTOMOSE SISTEMICO-PULMONAR
04.06.01.009-9;BANDAGEM DA ARTÉRIA PULMONAR
04.06.01.011-0;CARDIOTOMIA PARA RETIRADA DE CORPO ESTRANHO
04.06.01.013-7;CORREÇÃO DE ANEURISMA / DISSECÇÃO DA AORTA TORACO-ABDOMINAL
04.06.01.015-3;CORREÇÃO DE ATRESIA PULMONAR E COMUNICAÇÃO INTERVENTRICULAR
04.06.01.016-1;CORREÇÃO DE ÁTRIO ÚNICO
04.06.01.017-0;CORREÇÃO DE BANDA ANÔMALA DO VENTRÍCULO DIREITO
04.06.01.018-8;CORREÇÃO DE COARCTAÇÃO DA AORTA
04.06.01.019-6;CORREÇÃO DE COMUNICAÇÃO INTERVENTRICULAR
04.06.01.020-0;CORREÇÃO DE COMUNICAÇÃO INTER-VENTRICULAR E INSUFICIÊNCIA AORTICA
04.06.01.021-8;CORREÇÃO DE COR TRIATRIATUM
04.06.01.022-6;CORREÇÃO DE CORONÁRIA ANÔMALA (CRIANÇA E ADOLESCENTE)
04.06.01.023-4;CORREÇÃO DE DRENAGEM ANÔMALA DO RETORNO SISTÊMICO
04.06.01.024-2;CORREÇÃO DE DRENAGEM ANÔMALA PARCIAL DE VEIAS PULMONARES
04.06.01.025-0;CORREÇÃO DE DRENAGEM ANÔMALA TOTAL DE VEIAS PULMONARES
04.06.01.026-9;CORREÇÃO DE DUPLA VIA DE SAÍDA DO VENTRÍCULO DIREITO
04.06.01.027-7;CORREÇÃO DE DUPLA VIA DE SAÍDA DO VENTRÍCULO ESQUERDO
04.06.01.028-5;CORREÇÃO DE ESTENOSE AÓRTICA (0 A 3 ANOS)
04.06.01.029-3;CORREÇÃO DE ESTENOSE MITRAL CONGÊNITA
04.06.01.030-7;CORREÇÃO DE ESTENOSE SUPRA-AÓRTICA
04.06.01.031-5;CORREÇÃO DE FÍSTULA AÓRTO-CAVITARIAS
04.06.01.032-3;CORREÇÃO DE HIPERTROFIA SEPTAL ASSIMETRICA
04.06.01.033-1;CORREÇÃO DE HIPOPLASIA DE VENTRÍCULO ESQUERDO
04.06.01.034-0;CORREÇÃO DE INSUFICIÊNCIA DA VÁLVULA TRICÚSPIDE
04.06.01.035-8;CORREÇÃO DE INSUFICIÊNCIA MITRAL CONGÊNITA
04.06.01.036-6;CORREÇÃO DE INTERRUPÇÃO DO ARCO AÓRTICO
04.06.01.037-4;CORREÇÃO DE JANELA AORTO-PULMONAR (CRIANÇA E ADOLESCENTE)
04.06.01.038-2;CORREÇÃO DE JANELA AORTO-PULMONAR
04.06.01.039-0;CORREÇÃO DE LESÕES NA TRANSPOSIÇÃO CORRIGIDA DOS VASOS DA BASE
04.06.01.040-4;CORREÇÃO DE PERSISTÊNCIA DO CANAL ARTERIAL
04.06.01.041-2;CORREÇÃO DE PERSISTÊNCIA DO CANAL ARTERIAL NO RÉCEM-NASCIDO
04.06.01.042-0;CORREÇÃO DE TETRALOGIA DE FALLOT E VARIANTES (CRIANÇA E ADOLESCENTE)
04.06.01.043-9;CORREÇÃO DE TETRALOGIA DE FALLOT E VARIANTES
04.06.01.044-7;CORREÇÃO DE TRANSPOSIÇÃO DOS GRANDES VASOS DA BASE (CRIANÇA E ADOLESCENTE)
04.06.01.045-5;CORREÇÃO DE TRANSPOSIÇÃO DE GRANDES VASOS DA BASE
04.06.01.046-3;CORREÇÃO DE TRONCO ARTERIOSO PERSISTENTE
04.06.01.047-1;CORREÇÃO DE VENTRÍCULO ÚNICO
04.06.01.048-0;CORREÇÃO DO CANAL ÁTRIO-VENTRICULAR (PARCIAL / INTERMEDIÁRIO)
04.06.01.049-8;CORREÇÃO DO CANAL ÁTRIO-VENTRICULAR (TOTAL)
04.06.01.050-1;CORREÇÕES DE ANOMALIAS DO ARCO AÓRTICO
04.06.01.051-0;DRENAGEM C/ BIOPSIA DE PERICÁRDIO
04.06.01.052-8;EXÉRESE DE CISTO PERICÁRDICO
04.06.01.053-6;FECHAMENTO DE COMUNICAÇÃO INTERATRIAL
04.06.01.054-4;FECHAMENTO DE COMUNICAÇÃO INTERVENTRICULAR
04.06.01.055-2;IMPLANTE C/ TROCA DE POSIÇÃO DE VALVAS (CIRURGIA DE ROSS)
04.06.01.056-0;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÂMARA ÚNICA TRANSVENOSO
04.06.01.057-9;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO EPIMIOCÁRDICO POR TORACOTOMIA P/ IMPLANTE DE ELETRODO
04.06.01.058-7;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÃMARA DUPLA TRANSVENOSO
04.06.01.059-5;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR MULTI-SÍTIO ENDOCAVITÁRIO C/ REVERSÃO PARA EPIMIOCÁRDICO POR TORACOTOMIA
04.06.01.060-9;IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO
04.06.01.061-7;IMPLANTE DE MARCAPASSO CARDÍACO MULTI-SITIO ENDOCAVITÁRIO C/ REVERSÃO P/ EPIMIOCÁRDICO (POR TORACOTOMIA)
04.06.01.062-5;IMPLANTE DE MARCAPASSO CARDÍACO MULTI-SITIO EPIMIOCÁRDICO POR TORACOTOMIA P/IMPLANTE DE ELETRODO
04.06.01.063-3;IMPLANTE DE MARCAPASSO CARDÍACO MULTI-SITIO TRANSVENOSO
04.06.01.064-1;IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA EPIMIOCÁRDICO
04.06.01.065-0;IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA TRANSVENOSO
04.06.01.066-8;IMPLANTE DE MARCAPASSO DE CÂMARA ÚNICA EPIMIOCÁRDICO
04.06.01.067-6;IMPLANTE DE MARCAPASSO DE CÂMARA ÚNICA TRANSVENOSO
04.06.01.069-2;IMPLANTE DE PRÓTESE VALVAR
04.06.01.070-6;INFARTECTOMIA / ANEURISMECTOMIA ASSOCIADA OU NÃO A REVASCULARIZAÇÃO MIOCÁRDICA
04.06.01.073-0;LIGADURA DE FÍSTULA SISTÊMICO-PULMONAR
04.06.01.075-7;PERICARDIECTOMIA
04.06.01.076-5;PERICARDIECTOMIA PARCIAL
04.06.01.078-1;PLÁSTICA / TROCA DE VÁLVULA TRICÚSPIDE (ANOMALIA DE EBSTEIN)
04.06.01.079-0;PLÁSTICA DE LOJA DE GERADOR DE SISTEMA DE ESTIMULAÇÃO CARDÍACA ARTIFICIAL
04.06.01.080-3;PLÁSTICA VALVAR
04.06.01.081-1;PLÁSTICA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA
04.06.01.082-0;PLÁSTICA VALVAR E/OU TROCA VALVAR MÚLTIPLA
04.06.01.083-8;RECONSTRUÇÃO DA RAIZ DA AORTA
04.06.01.084-6;RECONSTRUÇÃO DA RAIZ DA AORTA C/ TUBO VALVADO
04.06.01.085-4;REPOSICIONAMENTO DE ELETRODOS DE CARDIOVERSOR DESFIBRILADOR
04.06.01.086-2;REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO
04.06.01.087-0;REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO MULTI-SITIO
04.06.01.088-9;RESSECÇÃO DE ENDOMIOCARDIOFIBROSE
04.06.01.089-7;RESSECÇÃO DE MEMBRANA SUB-AÓRTICA
04.06.01.090-0;RESSECÇÃO DE TUMOR INTRACARDÍACO
04.06.01.092-7;REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA
04.06.01.093-5;REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA (C/ 2 OU MAIS ENXERTOS)
04.06.01.094-3;REVASCULARIZAÇÃO MIOCÁRDICA S/ USO DE EXTRACORPÓREA
04.06.01.095-1;REVASCULARIZAÇÃO MIOCÁRDICA S/ USO DE EXTRACORPÓREA (C/ 2 OU MAIS ENXERTOS)
04.06.01.098-6;TROCA DE AORTA ASCENDENTE
04.06.01.099-4;TROCA DE ARCO AÓRTICO
04.06.01.100-1;TROCA DE CONJUNTO DO SEIO CORONÁRIO NO MARCAPASSO MULTI-SITIO
04.06.01.101-0;TROCA DE ELETRODOS DE DESFIBRILADOR DE CARDIO-DESFIBRILADOR TRANSVENOSO
04.06.01.102-8;TROCA DE ELETRODOS DE DESFIBRILADOR NO CARDIO-DESFIBRILADOR MULTI-SITIO
04.06.01.103-6;TROCA DE ELETRODOS DE MARCAPASSO DE CÂMARA DUPLA
04.06.01.104-4;TROCA DE ELETRODOS DE MARCAPASSO DE CÂMARA ÚNICA
04.06.01.105-2;TROCA DE ELETRODOS DE MARCAPASSO EM CARDIO-DESFIBRILADOR DE CAMARA DUPLA TRANSVENOSO
04.06.01.107-9;TROCA DE ELETRODOS DE MARCAPASSO NO CARDIO-DESFIBRILADOR MULTI-SITIO
04.06.01.108-7;TROCA DE ELETRODOS DE MARCAPASSO NO MARCAPASSO MULTI-SITIO
04.06.01.109-5;TROCA DE ELETRODOS DE SEIO CORONÁRIO NO CARDIOVERSOR DESFIBRILADOR MULTI-SITIO
04.06.01.110-9;TROCA DE GERADOR DE CARDIO-DESFIBRILADOR DE CÂMARA ÚNICA / DUPLA
04.06.01.111-7;TROCA DE GERADOR DE CARDIO-DESFIBRILADOR MULTI-SITIO
04.06.01.112-5;TROCA DE GERADOR DE MARCAPASSO DE CÂMARA DUPLA
04.06.01.113-3;TROCA DE GERADOR DE MARCAPASSO DE CÂMARA ÚNICA
04.06.01.114-1;TROCA DE GERADOR DE MARCAPASSO MULTI-SITIO
04.06.01.115-0;TROCA DE GERADOR E DE ELETRODO DE MARCAPASSO DE CÂMARA ÚNICA
04.06.01.116-8;TROCA DE GERADOR E DE ELETRODOS DE CARDIO-DESFIBRILADOR
04.06.01.117-6;TROCA DE GERADOR E DE ELETRODOS DE CARDIO-DESFIBRILADOR MULTISITIO
04.06.01.118-4;TROCA DE GERADOR E DE ELETRODOS DE MARCAPASSO DE CÂMARA DUPLA
04.06.01.119-2;TROCA DE GERADOR E DE ELETRODOS NO MARCAPASSO MULTI-SITIO
04.06.01.120-6;TROCA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA
04.06.01.121-4;UNIFOCALIZAÇÃO DE RAMOS DA ARTÉRIA PULMONAR C/ CIRCULAÇÃO EXTRACORPÓREA
04.06.01.122-2;UNIFOCALIZAÇÃO DE RAMOS DA ARTÉRIA PULMONAR S/ CIRCULAÇÃO EXTRACORPÓREA
04.06.01.123-0;ANASTOMOSE SISTEMICO PULMONAR COM CEC
04.06.01.124-9;CORREÇÃO DE COARCTAÇÃO DA AORTA COM CEC
04.06.01.125-7;CORREÇÃO DE CORONARIA ANOMALA (19 A 110)
04.06.01.126-5;ABERTURA DE ESTENOSE AORTICA VALVAR (CRIANÇA E ADOLESCENTE)
04.06.01.127-3;ABERTURA DE ESTENOSE PULMONAR VALVAR (CRIANÇA E ADOLESCENTE)
04.06.01.128-1;AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO DIREITO E/OU RAMOS PULMONARES (CRIANÇA E ADOLESCENTE)
04.06.01.129-0;AMPLIAÇÃO DE VIA DE SAÍDA DO VENTRÍCULO ESQUERDO (CRIANÇA E ADOLESCENTE)
04.06.01.130-3;ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL (CRIANÇA E ADOLESCENTE)
04.06.01.131-1;ANASTOMOSE SISTEMICO-PULMONAR (CRIANÇA E ADOLESCENTE)
04.06.01.132-0;BANDAGEM DA ARTERIA PULMONAR (CRIANÇA E ADOLESCENTE)
04.06.01.133-8;CORREÇÃO DE COARCTAÇÃO DA AORTA (CRIANÇA E ADOLESCENTE)
04.06.01.134-6;CORREÇÃO DE DRENAGEM ANOMALA DO RETORNO SISTEMICO (CRIANÇA E ADOLESCENTE)
04.06.01.135-4;CORREÇÃO DE DRENAGEM ANOMALA PARCIAL DE VEIAS PULMONARES (CRIANÇA E ADOLESCENTE)
04.06.01.136-2;CORREÇÃO DE ESTENOSE MITRAL CONGENITA (CRIANÇA E ADOLESCENTE)
04.06.01.137-0;CORREÇÃO DE ESTENOSE SUPRA-AÓRTICA (CRIANÇA E ADOLESCENTE)
04.06.01.138-9;CORREÇÃO DE FISTULA AORTO-CAVITARIAS (CRIANÇA E ADOLESCENTE)
04.06.01.139-7;CORREÇÃO DE HIPERTROFIA SEPTAL ASSIMETRICA (CRIANÇA E ADOLESCENTE)
04.06.01.140-0;CORREÇÃO DE INSUFICIENCIA DA VALVULA TRICUSPIDE (CRIANÇA E ADOLESCENTE)
04.06.01.141-9;CORREÇÃO DE INSUFICIENCIA MITRAL CONGENITA (CRIANÇA E ADOLESCENTE)
04.06.01.142-7;CORREÇÃO DE PERSISTENCIA DO CANAL ARTERIAL (CRIANÇA E ADOLESCENTE)
04.06.01.143-5;CORREÇÃO DO CANAL ATRIO-VENTRICULAR PARCIAL / INTERMEDIARIO (CRIANÇA E ADOLESCENTE)
04.06.01.144-3;CORREÇÕES DE ANOMALIAS DO ARCO AORTICO (CRIANÇA E ADOLESCENTE)
04.06.01.145-1;FECHAMENTO DE COMUNICAÇÃOINTERATRIAL (CRIANÇA E ADOLESCENTE)
04.06.01.146-0;FECHAMENTO DE COMUNICAÇÃO INTERVENTRICULAR (CRIANÇA E ADOLESCENTE)
04.06.01.147-8;IMPLANTE C/ TROCA DE POSIÇÃO DE VALVAS (CIRURGIA DE ROSS) (CRIANÇA E ADOLESCENTE)
04.06.01.148-6;LIGADURA DE FÍSTULA SISTEMICO-PULMONAR (CRIANÇA E ADOLESCENTE)
04.06.01.149-4;RESSECÇÃO DE MEMBRANA SUB-AORTICA (CRIANÇA E ADOLESCENTE)
04.06.01.150-8;ANASTOMOSE SISTEMICO PULMONAR COM CEC (CRIANÇA E ADOLESCENTE)
04.06.01.151-6;CORREÇÃO DE COARCTAÇÃO DA AORTA COM CEC (CRIANÇA E ADOLESCENTE)
04.06.01.152-4;IMPLANTE TRANSCATETER DE VÁLVULA AÓRTICA (ITVA)
04.06.02.001-9;ANASTOMOSE ESPLENO-RENAL / OUTRA DERIVAÇÃO CENTRAL
04.06.02.002-7;ANASTOMOSE LINFOVENOSA
04.06.02.003-5;ANASTOMOSE PORTO-CAVA
04.06.02.004-3;ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL
04.06.02.005-1;ANEURISMECTOMIA TORACO-ABDOMINAL
04.06.02.007-8;IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL)
04.06.02.011-6;DRENAGEM DE GANGLIO LINFÁTICO
04.06.02.015-9;EXÉRESE DE GANGLIO LINFÁTICO
04.06.02.019-1;LINFADENECTOMIA PÉLVICA
04.06.02.021-3;LINFADENECTOMIA RADICAL AXILAR BILATERAL
04.06.02.022-1;LINFADENECTOMIA RADICAL AXILAR UNILATERAL
04.06.02.023-0;LINFADENECTOMIA RADICAL CERVICAL BILATERAL
04.06.02.024-8;LINFADENECTOMIA RADICAL CERVICAL UNILATERAL
04.06.02.025-6;LINFADENECTOMIA RADICAL INGUINAL BILATERAL
04.06.02.026-4;LINFADENECTOMIA RADICAL INGUINAL UNILATERAL
04.06.02.027-2;LINFADENECTOMIA RADICAL VULVAR
04.06.02.028-0;LINFADENECTOMIA RETROPERITONIAL
04.06.02.030-2;PLASTIA ARTERIAL COM REMENDO (QUALQUER TÉCNICA)
04.06.02.031-0;PONTE AXILO-BIFEMURAL
04.06.02.032-9;PONTE AXILO-FEMURAL
04.06.02.033-7;PONTE DE RAMOS DOS TRONCOS SUPRA-AORTICOS
04.06.02.034-5;PONTE FEMORO-FEMURAL CRUZADA
04.06.02.035-3;PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL
04.06.02.036-1;PONTE-TROMBOENDARTERECTOMIA AORTO-ILÍACA
04.06.02.037-0;PONTE-TROMBOENDARTERECTOMIA DE CARÓTIDA
04.06.02.038-8;PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL
04.06.02.039-6;RETIRADA DE PROTESE INFECTADA EM POSIÇÃO AORTO- ABDOMINAL COM PONTE AXILO FEMURAL/AXILO BIFEMURAL CRUZADO
04.06.02.040-0;RETIRADA DE PRÓTESE INFECTADA EM POSIÇÃO NÃO AÓRTICA
04.06.02.041-8;REVASCULARIZAÇÃO DE ARTÉRIAS VISCERAIS
04.06.02.042-6;REVASCULARIZAÇÃO DO MEMBRO SUPERIOR
04.06.02.043-4;REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA DE OUTRAS ARTERIAS DISTAIS
04.06.02.044-2;REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA DISTAL
04.06.02.045-0;REVASCULARIZAÇÃO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLÍTEA
04.06.02.046-9;TRANSPLANTE DE SEGMENTO VENOSO VALVULADO
04.06.02.047-7;TRANSPOSIÇÃO DE VEIAS DO SISTEMA VENOSO PROFUNDO
04.06.02.048-5;TRATAMENTO CIRÚRGICO DE ANEURISMAS DAS ARTERIAS VISCERAIS
04.06.02.056-6;TRATAMENTO CIRÚRGICO DE VARIZES (BILATERAL)
04.06.02.055-8;TRATAMENTO CIRURGICO DE LINFEDEMA
04.06.02.057-4;TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL)
04.06.02.058-2;TROCA DE AORTA DESCENDENTE (INCLUI ABDOMINAL)
04.06.02.059-0;TROMBECTOMIA DO SISTEMA VENOSO
04.06.02.060-4;VALVULOPLASTIAS DO SISTEMA VENOSO PROFUNDO
04.06.03.001-4;ANGIOPLASTIA CORONARIANA
04.06.03.002-2;ANGIOPLASTIA CORONARIANA COM IMPLANTE DE DOIS STENTS
04.06.03.003-0;ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT
04.06.03.005-7;ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS
04.06.03.006-5;ANGIOPLASTIA EM ENXERTO CORONARIANO
04.06.03.007-3;ANGIOPLASTIA EM ENXERTO CORONARIANO (COM IMPLANTE DE STENT)
04.06.03.008-1;ATRIOSEPTOSTOMIA COM CATETER BALÃO
04.06.03.009-0;FECHAMENTO PERCUTÂNEO DO CANAL ARTERIAL / FISTULAS ARTERIOVENOSAS COM LIBERAÇÃO DE COILS
04.06.03.010-3;RETIRADA DE CORPO ESTRANHO DE SISTEMA CARDIOVASCULAR POR TÉCNICAS HEMODINÂMICAS
04.06.03.011-1;VALVULOPLASTIA AÓRTICA PERCUTÂNEA
04.06.03.012-0;VALVULOPLASTIA MITRAL PERCUTÂNEA
04.06.03.013-8;VALVULOPLASTIA PULMONAR PERCUTÂNEA
04.06.03.014-6;VALVULOPLASTIA TRICUSPIDE PERCUTANEA
04.06.03.015-4;FECHAMENTO PERCUTÂNEO DE COMUNICAÇÃO INTERATRIAL SEPTAL.
04.06.0.4001-0;ALCOOLIZAÇÃO PERCUTÂNEA DE HEMANGIOMA E MALFORMAÇÃO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO)
04.06.04.002-8;ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)
04.06.04.004-4;ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (SEM STENT)
04.06.04.005-2;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT)
04.06.04.006-0;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO)
04.06.04.007-9;ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT RECOBERTO)
04.06.04.008-7;ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOÇO / TRONCOS SUPRA-AÓRTICOS (SEM STENT)
